Number of colors: 256
Color:   0, R: 0, G: 0, B: 0
Color:   1, R: 0, G: 0, B: 85
Color:   2, R: 0, G: 0, B: 170
Color:   3, R: 0, G: 0, B: 255
Color:   4, R: 0, G: 36, B: 0
Color:   5, R: 0, G: 36, B: 85
Color:   6, R: 0, G: 36, B: 170
Color:   7, R: 0, G: 36, B: 255
Color:   8, R: 0, G: 73, B: 0
Color:   9, R: 0, G: 73, B: 85
Color:  10, R: 0, G: 73, B: 170
Color:  11, R: 0, G: 73, B: 255
Color:  12, R: 0, G: 109, B: 0
Color:  13, R: 0, G: 109, B: 85
Color:  14, R: 0, G: 109, B: 170
Color:  15, R: 0, G: 109, B: 255
Color:  16, R: 0, G: 146, B: 0
Color:  17, R: 0, G: 146, B: 85
Color:  18, R: 0, G: 146, B: 170
Color:  19, R: 0, G: 146, B: 255
Color:  20, R: 0, G: 182, B: 0
Color:  21, R: 0, G: 182, B: 85
Color:  22, R: 0, G: 182, B: 170
Color:  23, R: 0, G: 182, B: 255
Color:  24, R: 0, G: 219, B: 0
Color:  25, R: 0, G: 219, B: 85
Color:  26, R: 0, G: 219, B: 170
Color:  27, R: 0, G: 219, B: 255
Color:  28, R: 0, G: 255, B: 0
Color:  29, R: 0, G: 255, B: 85
Color:  30, R: 0, G: 255, B: 170
Color:  31, R: 0, G: 255, B: 255
Color:  32, R: 36, G: 0, B: 0
Color:  33, R: 36, G: 0, B: 85
Color:  34, R: 36, G: 0, B: 170
Color:  35, R: 36, G: 0, B: 255
Color:  36, R: 36, G: 36, B: 0
Color:  37, R: 36, G: 36, B: 85
Color:  38, R: 36, G: 36, B: 170
Color:  39, R: 36, G: 36, B: 255
Color:  40, R: 36, G: 73, B: 0
Color:  41, R: 36, G: 73, B: 85
Color:  42, R: 36, G: 73, B: 170
Color:  43, R: 36, G: 73, B: 255
Color:  44, R: 36, G: 109, B: 0
Color:  45, R: 36, G: 109, B: 85
Color:  46, R: 36, G: 109, B: 170
Color:  47, R: 36, G: 109, B: 255
Color:  48, R: 36, G: 146, B: 0
Color:  49, R: 36, G: 146, B: 85
Color:  50, R: 36, G: 146, B: 170
Color:  51, R: 36, G: 146, B: 255
Color:  52, R: 36, G: 182, B: 0
Color:  53, R: 36, G: 182, B: 85
Color:  54, R: 36, G: 182, B: 170
Color:  55, R: 36, G: 182, B: 255
Color:  56, R: 36, G: 219, B: 0
Color:  57, R: 36, G: 219, B: 85
Color:  58, R: 36, G: 219, B: 170
Color:  59, R: 36, G: 219, B: 255
Color:  60, R: 36, G: 255, B: 0
Color:  61, R: 36, G: 255, B: 85
Color:  62, R: 36, G: 255, B: 170
Color:  63, R: 36, G: 255, B: 255
Color:  64, R: 73, G: 0, B: 0
Color:  65, R: 73, G: 0, B: 85
Color:  66, R: 73, G: 0, B: 170
